datetime_created,count_retweet,count_favorite,statistic_importance,sentiment,count_follow,count_follower,count_tweet
2020-07-25,0,49447,0.0,-1,1912,1137,9920
2020-07-25,0,2,1.0,-1,2,3,10
2020-07-25,4,26470,27.0,-1,1013,16429,14491
2020-07-25,0,425,0.0,-1,168,117,9116
2020-07-26,1,251,67.0,-1,301,26506,85367
2020-07-26,3,251,67.0,-1,301,26506,85367
2020-07-26,0,13183,0.0,-1,1730,864,2102
2020-07-26,0,7814,3.0,-1,244,1353,20933
2020-07-26,0,42366,1.0,-1,182,210,135484
2020-07-26,0,115341,0.0,-1,3621,1459,101097
2020-07-26,1,110,0.0,-1,46326,46254,159676
2020-07-26,0,186597,0.0,-1,5015,1441,238850
2020-07-26,0,80339,1.0,-1,208053,219303,666228
2020-07-26,0,29,1.0,-1,221,272,4040
2020-07-26,0,178,0.0,-1,48,3,637
2020-07-26,0,99502,1.0,-1,1380,1137,115824
2020-07-26,0,3,5.0,-1,27,160,64379
2020-07-25,0,11248,2.0,-1,647,1849,9841
2020-07-26,1,84,0.0,-1,34,21,10486
2020-07-26,3,5485,4.0,-1,128,567,7308
2020-07-25,0,173968,1.0,-1,1004,3284,30479
2020-07-26,1,29233,1.0,-1,773,779,138921
2020-07-26,0,348,0.0,-1,133,19,454
2020-07-26,0,918,0.0,-1,81,16,251
2020-07-26,0,52859,0.0,-1,4747,2483,105388
2020-07-25,2,26470,27.0,-1,1013,16429,14491
2020-07-26,0,2894,0.0,-1,158,15,1363
2020-07-26,0,67355,0.0,-1,564,240,33581
2020-07-26,0,11186,0.0,-1,249,97,3540
2020-07-26,0,15712,0.0,-1,360,248,21177
2020-07-26,0,51099,0.0,-1,1475,708,17914
2020-07-26,0,89,0.0,-1,2878,910,71669
2020-07-27,0,4679,0.0,-1,506,258,1680
2020-07-27,0,4679,0.0,-1,506,258,1680
2020-07-27,0,4679,0.0,-1,506,258,1680
2020-07-27,0,4679,0.0,-1,506,258,1680
2020-07-27,0,4679,0.0,-1,506,258,1680
2020-07-27,0,4679,0.0,-1,506,258,1680
2020-07-27,0,4679,0.0,-1,506,258,1680
2020-07-27,0,32082,0.0,-1,1233,842,21542
2020-07-27,0,336,1.0,-1,733,958,25976
2020-07-27,0,59092,0.0,-1,1025,741,37761
2020-07-27,0,15393,1.0,-1,1265,1477,17331
2020-07-27,0,38744,0.0,-1,885,881,12670
2020-07-27,0,32300,1.0,-1,9577,9674,583222
2020-07-27,0,8049,0.0,-1,2744,1365,102210
2020-07-27,1,41786,1.0,-1,602,581,88943
2020-07-27,0,6404,1.0,-1,1631,2659,7833
2020-07-27,0,1063,1.0,-1,879,1639,6900
2020-07-27,0,2783,0.0,-1,533,527,3779
2020-07-27,0,2334,0.0,-1,540,295,7954
2020-07-27,0,17041,0.0,-1,300,131,8223
2020-07-27,0,4184,0.0,-1,64,36,8747
2020-07-27,0,5480,1.0,-1,144,194,5025
2020-07-27,0,1384,6.0,-1,29,169,422
2020-07-27,0,16177,0.0,-1,432,286,14767
2020-07-27,1,13680,0.0,-1,208,50,3848
2020-07-27,4,4319,1.0,-1,1001,1104,30403
2020-07-27,0,296,0.0,-1,203,197,2640
2020-07-27,0,14505,1.0,-1,155,204,12762
2020-07-27,0,12342,3.0,-1,71,32,7100
2020-07-27,0,11046,0.0,-1,510,411,3058
2020-07-27,0,46986,0.0,-1,266,278,32212
2020-07-27,11,73299,1.0,-1,4895,16155,14598
2020-07-27,0,1670,0.0,-1,118,91,1159
2020-07-27,0,10405,0.0,-1,1842,964,11434
2020-07-28,0,10355,0.0,-1,143,39,2201
2020-07-28,0,35548,1.0,-1,350,410,20419
2020-07-28,0,471,0.0,-1,212,133,5237
2020-07-28,0,130863,1.0,-1,1793,1998,74924
2020-07-28,0,200,33.0,-1,234,6464,120500
2020-07-28,0,66203,0.0,-1,83,78,6725
2020-07-28,0,14054,5.0,-1,4377,24673,22402
2020-07-28,0,9617,0.0,-1,135,89,8106
2020-07-28,0,284532,1.0,-1,14997,21576,127236
2020-07-28,1,434,0.0,-1,341,163,656
2020-07-28,0,15483,1.0,-1,952,1006,33704
2020-07-28,0,332985,1.0,-1,5553,5664,378636
2020-07-28,0,42429,0.0,-1,5117,5065,74222
2020-07-28,0,53571,0.0,-1,501,133,24574
2020-07-28,0,16316,0.0,-1,224,173,10047
2020-07-28,0,2003,1.0,-1,101,135,2017
2020-07-28,0,37,0.0,-1,35,5,130
2020-07-28,0,2437,0.0,-1,2613,471,13040
2020-07-28,0,9325,0.0,-1,115,85,5566
2020-07-27,0,166307,0.0,-1,3246,2581,216080
2020-07-28,0,5762,3.0,-1,404,1607,2027
2020-07-28,0,5762,3.0,-1,404,1607,2027
2020-07-28,0,9108,0.0,-1,259,58,10149
2020-07-28,0,37,0.0,-1,94,14,173
2020-07-29,0,2323,3.0,-1,2734,8813,168732
2020-07-29,0,165567,0.0,-1,388,502,90695
2020-07-29,0,100771,0.0,-1,5977,5433,573351
2020-07-29,0,10357,8.0,-1,1036,8296,39526
2020-07-29,0,113299,0.0,-1,2530,2561,124651
2020-07-29,0,28949,0.0,-1,1155,318,5253
2020-07-29,0,40102,0.0,-1,2273,789,60504
2020-07-29,0,23842,0.0,-1,2724,375,95357
2020-07-29,0,33905,1.0,-1,78,87,18175
2020-07-29,0,15938,0.0,-1,268,205,46369
2020-07-29,0,44635,0.0,-1,667,246,13675
2020-07-29,0,24478,0.0,-1,2686,2685,53234
2020-07-29,0,127032,0.0,-1,1950,1439,183085
2020-07-29,0,244902,1.0,-1,2595,2724,192180
2020-07-29,0,26806,1.0,-1,185,311,51041
2020-07-29,0,65608,5.0,-1,893,4658,173489
2020-07-29,0,99104,0.0,-1,3903,2663,279716
2020-07-29,0,208752,1.0,-1,1067,1313,95245
2020-07-29,0,56498,0.0,-1,1091,355,90703
2020-07-29,0,6652,0.0,-1,202,218,3812
2020-07-29,0,413764,0.0,-1,665,162,168756
2020-07-29,0,490,0.0,-1,471,199,6061
2020-07-29,0,243419,0.0,-1,2145,892,213831
2020-07-29,0,46354,9.0,-1,129,1264,110260
2020-07-29,0,2205,3.0,-1,1079,3565,150566
2020-07-29,0,72857,0.0,-1,1142,262,49827
2020-07-29,0,66618,1.0,-1,480,606,105578
2020-07-29,0,126360,0.0,-1,4139,3390,54201
2020-07-29,0,23839,0.0,-1,623,138,14309
2020-07-29,0,125385,4.0,-1,81,354,145012
2020-07-29,0,153459,0.0,-1,4106,3723,148672
2020-07-29,4,153459,0.0,-1,4106,3723,148672
2020-07-29,0,17908,0.0,-1,165,97,33673
2020-07-29,149,14567,7.0,-1,1093,17865,43378
2020-07-29,0,1257,1.0,-1,333,452,72386
2020-07-29,0,61796,0.0,-1,1690,1099,127875
2020-07-29,0,38051,0.0,-1,834,709,31834
2020-07-29,0,32995,1.0,-1,615,679,52104
2020-07-29,0,38335,0.0,-1,2548,299,15193
2020-07-29,0,269584,0.0,-1,2078,1702,273142
2020-07-29,9,65164,1.64516129032258,-1,888,1455,6499
2020-07-29,0,114984,0.0,-1,517,242,238929
2020-07-29,0,172318,3.0,-1,1068,2842,104677
2020-07-29,0,28124,0.0,-1,2148,1587,13496
2020-07-29,4,67,0.0,-1,830,106,3852
2020-07-29,0,267092,0.0,-1,1309,791,159954
2020-07-29,0,1894,0.0,-1,506,82,4867
2020-07-29,0,39,0.0,-1,1081,93,59496
2020-07-29,0,16913,1.0,-1,260,436,23672
2020-07-29,0,9898,0.0,-1,238,177,8348
2020-07-29,0,11503,0.0,-1,628,164,47134
2020-07-29,0,30100,0.0,-1,600,245,27980
2020-07-29,0,4950,0.0,-1,405,291,39279
2020-07-29,0,4124,1.0,-1,116,122,8069
2020-07-29,0,1554,0.0,-1,157,40,2881
2020-07-29,0,50057,0.0,-1,157,107,8568
2020-07-29,0,160,1.0,-1,3914,3503,343296
2020-07-29,0,90774,0.0,-1,1122,509,67755
2020-07-29,0,101705,3.0,-1,143,470,52403
2020-07-29,0,206735,1.0,-1,966,1037,314246
2020-07-29,0,26619,0.0,-1,890,114,27109
2020-07-29,0,91827,0.0,-1,1205,1087,33542
